Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-12-18 09:00:00+01:00,20273.849609375,20281.849609375,20249.05078125,20255.94921875,0,0.0,0.0
2024-12-18 09:15:00+01:00,20255.880859375,20277.51953125,20244.9296875,20270.23046875,0,0.0,0.0
2024-12-18 09:30:00+01:00,20270.5390625,20299.669921875,20269.4296875,20270.98046875,0,0.0,0.0
2024-12-18 09:45:00+01:00,20270.76953125,20284.48046875,20261.640625,20272.66015625,0,0.0,0.0
2024-12-18 10:00:00+01:00,20272.66015625,20277.529296875,20261.44921875,20277.359375,0,0.0,0.0
2024-12-18 10:15:00+01:00,20277.9609375,20281.349609375,20252.2890625,20255.2890625,0,0.0,0.0
2024-12-18 10:30:00+01:00,20254.779296875,20270.41015625,20251.51953125,20270.150390625,0,0.0,0.0
2024-12-18 10:45:00+01:00,20270.150390625,20278.130859375,20261.140625,20267.58984375,0,0.0,0.0
2024-12-18 11:00:00+01:00,20267.400390625,20282.4296875,20262.76953125,20280.240234375,0,0.0,0.0
2024-12-18 11:15:00+01:00,20280.25,20298.720703125,20280.1796875,20296.75,0,0.0,0.0
2024-12-18 11:30:00+01:00,20296.75,20308.759765625,20284.859375,20304.140625,0,0.0,0.0
2024-12-18 11:45:00+01:00,20304.140625,20320.849609375,20303.310546875,20320.060546875,0,0.0,0.0
2024-12-18 12:00:00+01:00,20320.029296875,20329.669921875,20311.80078125,20317.560546875,0,0.0,0.0
2024-12-18 12:15:00+01:00,20317.560546875,20327.140625,20310.69921875,20312.2109375,0,0.0,0.0
2024-12-18 12:30:00+01:00,20312.2109375,20313.26953125,20300.69921875,20304.560546875,0,0.0,0.0
2024-12-18 12:45:00+01:00,20304.369140625,20309.650390625,20295.990234375,20299.08984375,0,0.0,0.0
2024-12-18 13:00:00+01:00,20299.2890625,20307.580078125,20293.400390625,20305.400390625,0,0.0,0.0
2024-12-18 13:15:00+01:00,20305.400390625,20313.189453125,20300.44921875,20301.41015625,0,0.0,0.0
2024-12-18 13:30:00+01:00,20301.41015625,20303.880859375,20297.23046875,20297.669921875,0,0.0,0.0
2024-12-18 13:45:00+01:00,20297.669921875,20303.380859375,20295.779296875,20296.919921875,0,0.0,0.0
2024-12-18 14:00:00+01:00,20296.919921875,20296.919921875,20276.140625,20277.669921875,0,0.0,0.0
2024-12-18 14:15:00+01:00,20277.5703125,20279.5703125,20266.7890625,20278.7109375,0,0.0,0.0
2024-12-18 14:30:00+01:00,20278.7109375,20282.849609375,20255.01953125,20257.359375,0,0.0,0.0
2024-12-18 14:45:00+01:00,20257.359375,20265.900390625,20251.7109375,20256.41015625,0,0.0,0.0
2024-12-18 15:00:00+01:00,20256.4609375,20271.849609375,20247.880859375,20263.240234375,0,0.0,0.0
2024-12-18 15:15:00+01:00,20263.349609375,20265.73046875,20252.830078125,20255.919921875,0,0.0,0.0
2024-12-18 15:30:00+01:00,20256.23046875,20281.76953125,20250.890625,20279.609375,0,0.0,0.0
2024-12-18 15:45:00+01:00,20279.4296875,20300.400390625,20270.30078125,20275.400390625,0,0.0,0.0
2024-12-18 16:00:00+01:00,20275.05078125,20296.0390625,20268.900390625,20296.0390625,0,0.0,0.0
2024-12-18 16:15:00+01:00,20296.0390625,20298.259765625,20275.990234375,20278.1796875,0,0.0,0.0
2024-12-18 16:30:00+01:00,20278.1796875,20290.369140625,20270.83984375,20285.439453125,0,0.0,0.0
2024-12-18 16:45:00+01:00,20285.439453125,20297.900390625,20280.439453125,20283.140625,0,0.0,0.0
2024-12-18 17:00:00+01:00,20282.599609375,20284.900390625,20248.990234375,20250.529296875,0,0.0,0.0
2024-12-18 17:15:00+01:00,20250.529296875,20262.439453125,20241.98046875,20261.0,0,0.0,0.0
2024-12-19 09:00:00+01:00,20032.05078125,20054.130859375,20021.720703125,20034.16015625,0,0.0,0.0
2024-12-19 09:15:00+01:00,20035.0703125,20069.119140625,20023.720703125,20066.58984375,0,0.0,0.0
2024-12-19 09:30:00+01:00,20067.2890625,20087.5703125,20050.7890625,20085.25,0,0.0,0.0
2024-12-19 09:45:00+01:00,20085.25,20105.099609375,20085.2109375,20097.58984375,0,0.0,0.0
2024-12-19 10:00:00+01:00,20097.599609375,20097.599609375,20064.44921875,20064.44921875,0,0.0,0.0
2024-12-19 10:15:00+01:00,20065.150390625,20067.26953125,20029.75,20052.19921875,0,0.0,0.0
2024-12-19 10:30:00+01:00,20052.41015625,20072.009765625,20041.359375,20051.1796875,0,0.0,0.0
2024-12-19 10:45:00+01:00,20051.880859375,20051.880859375,20028.939453125,20038.849609375,0,0.0,0.0
2024-12-19 11:00:00+01:00,20038.9609375,20052.44921875,20031.869140625,20052.080078125,0,0.0,0.0
2024-12-19 11:15:00+01:00,20052.3203125,20069.0390625,20031.7890625,20032.939453125,0,0.0,0.0
2024-12-19 11:30:00+01:00,20032.890625,20042.5390625,19999.189453125,20008.7890625,0,0.0,0.0
2024-12-19 11:45:00+01:00,20008.859375,20009.080078125,19983.119140625,19990.0390625,0,0.0,0.0
2024-12-19 12:00:00+01:00,19990.140625,20015.9609375,19987.349609375,20011.7109375,0,0.0,0.0
2024-12-19 12:15:00+01:00,20011.58984375,20011.58984375,19990.259765625,19990.259765625,0,0.0,0.0
2024-12-19 12:30:00+01:00,19990.369140625,20016.080078125,19982.349609375,20015.109375,0,0.0,0.0
2024-12-19 12:45:00+01:00,20015.109375,20030.689453125,20012.380859375,20029.580078125,0,0.0,0.0
2024-12-19 13:00:00+01:00,20029.76953125,20059.580078125,20029.76953125,20058.560546875,0,0.0,0.0
2024-12-19 13:15:00+01:00,20058.560546875,20081.23046875,20049.650390625,20053.5703125,0,0.0,0.0
2024-12-19 13:30:00+01:00,20053.5703125,20053.880859375,20043.240234375,20047.349609375,0,0.0,0.0
2024-12-19 13:45:00+01:00,20047.30078125,20067.869140625,20045.33984375,20067.66015625,0,0.0,0.0
2024-12-19 14:00:00+01:00,20067.66015625,20079.830078125,20053.630859375,20067.25,0,0.0,0.0
2024-12-19 14:15:00+01:00,20067.25,20072.669921875,20056.009765625,20068.30078125,0,0.0,0.0
2024-12-19 14:30:00+01:00,20069.3203125,20079.3203125,20055.390625,20055.759765625,0,0.0,0.0
2024-12-19 14:45:00+01:00,20055.759765625,20068.359375,20037.970703125,20050.23046875,0,0.0,0.0
2024-12-19 15:00:00+01:00,20050.26953125,20062.51953125,20036.169921875,20055.580078125,0,0.0,0.0
2024-12-19 15:15:00+01:00,20055.580078125,20055.9296875,20034.0703125,20034.0703125,0,0.0,0.0
2024-12-19 15:30:00+01:00,20034.05078125,20046.640625,20009.029296875,20013.05078125,0,0.0,0.0
2024-12-19 15:45:00+01:00,20012.6796875,20021.25,19996.0703125,20005.6796875,0,0.0,0.0
2024-12-19 16:00:00+01:00,20005.33984375,20009.900390625,19966.23046875,20003.9609375,0,0.0,0.0
2024-12-19 16:15:00+01:00,20003.9609375,20004.150390625,19968.80078125,19969.5390625,0,0.0,0.0
2024-12-19 16:30:00+01:00,19967.779296875,19995.109375,19959.419921875,19990.130859375,0,0.0,0.0
2024-12-19 16:45:00+01:00,19990.0703125,20000.41015625,19978.140625,19996.109375,0,0.0,0.0
2024-12-19 17:00:00+01:00,19996.470703125,19996.470703125,19964.650390625,19966.859375,0,0.0,0.0
2024-12-19 17:15:00+01:00,19966.859375,20003.099609375,19966.859375,19999.859375,0,0.0,0.0
